Name,Comment,Time,Likes,Reply Count
neela tia,"Semoga banyak muncul Indonesian yang bertalenta tinggi dan terkenal di dunia. 
Bravo 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 Uurraa",2022-03-15T23:11:44Z,17,0
M Husni Nugraha,"Asli keren parah , sukses single baru nya🔥🔥🔥",2022-03-15T10:00:42Z,6,0
Lidia Nurizki,Sebenernya musik mereka easy listening dan menarik. Tetapi yg aneh fansboynya. Klo idolanya di puji overproudnya lebay. Tetapi klo di kritik ambekannya ga tau malu. Kan lucu....,2022-03-15T06:50:01Z,4,17
Riki Soebagdja,Terbukti bahwa musik Rock / Metal Indo bisa go international bukan musik yg kaya Noah 🤣,2022-03-15T04:04:40Z,4,3
Armand Jeen,viewer boleh kalah tapi manggungnya jauh jauh terus..... MANTAB bener emang BACEPROT,2022-03-15T06:21:23Z,0,
Nirmahda Bertha,Saya ampe nangis saking terharunya GIRLS GOOD JOB!!!!!!!!!!!!!!!!!!!!!!!!!,2022-03-15T02:01:33Z,18,1
Roma Rio Putra,lebay,2022-03-25T09:22:33Z,0,
Mellodika,Sukses buat VOB 🔥,2022-03-15T01:33:14Z,6,0
Dadi Rosyadi,Keren bgt VOB Trio Hijab yang super super luarbiasa indonesia pride i love you.,2022-03-15T01:24:21Z,11,0
jilboobs,Gila perkembangannya luar biasa.rock the world girls!!!!!,2022-03-15T00:31:02Z,21,0
METALHEAD for Life,Mantappp semoga makin banyak tour ke luar negeri setelahnya,2022-03-27T16:45:54Z,0,
Suyati Endang,Salut dg kreatifitasmu VoB.jadikan ketenaran dlm kekal mnjaga aurat..love VoB,2022-03-14T15:07:30Z,23,0
Abhi Lamonthi,Aku menikmati cabikan bass WIDI di lagu ini.,2022-03-14T13:28:06Z,5,0
Yubair Branderman,"Mantapp.. 
VOB emang selalu bikin semangat. 
Walaupun berhijab tetap selalu ngrock.. 
Tapi sekali-kali pengen ngliat VOB ngebawain lagu religi dan shalawat, biar hijabnya tambah mengena.. 🙏",2022-03-14T13:12:16Z,2,3
Ferdinan chandra,Dakwah lewat lagu rock... 👍👍👍👍,2022-03-14T12:30:38Z,15,0
Rezky Ramdhany Senjaya,"VOB 🤘🤘🤘🤘🤘🤘
Seakan mewakili teriakan perempuan diseluruh Dunia bahwa perempuan bukanlah ""Public Property"" melalui genre musik yang mudah dicerna oleh mayoritas kaum laki-laki dan saya berharap semoga laki-laki diseluruh Dunia mendengar dan mengerti akan hal itu.",2022-03-14T11:35:49Z,11,0
RIDE 29,Terbanglah dengan aura 🤟 😎,2022-03-14T08:21:22Z,12,0
,,,,
Pepi Perdiansyah,"Kereeen keren abis, musiknya enak banget, liriknya bernilai. karya yang luarbiasa. sebuah pergerakan nyata tentang Humanity. 👍👍👍",2022-03-14T07:41:52Z,17,0
fikri alfian,"Keren pisan, emang bakat dan kerja keras pasti ada hasil",2022-03-14T07:37:16Z,15,0
AβįƐ Al,Apa cuma aku doang ya nonton vob berulang-ulang ada iklan gak pernah di skip 😂🤘🏼🔥🇮🇩,2022-03-14T06:27:54Z,21,3
Pajokka_info,BAND KERENNNNNNNNNNNNNNNNNNNNNNNNNN........,2022-03-14T04:19:17Z,6,0
Agunsya Mulyana,biar tidak ada dirty mind... perempuan mesti berpakaian yg baik menurut agama...bukan berpakaian yg cewe suka...,2022-03-14T03:39:13Z,4,2
Zaki Asufi,"@Taufik Cahyadi public property itu sebuah mahakarya, dan bukan sekedar lagu tapi movemen, lead lead slash di lagu lagu GNR juga seperti ini, enak dan pas di lagu. Itu yg mewah.",2022-03-14T03:26:21Z,1,
Shiken Nade,Kenapa Band dengan kualitas luar biasa seperti ini dan di akui oleh negara lain sangat minim suport dari negri sendiri??!Sangat di sayangkan Band sebagus ini harus kalah dg orang2 joget gak jelas di aplikasi t**** ayo kita suport youtube dan instagram Vob agar bisa trus berkarya dan trus mengharumkan nama Bangsa...,2022-03-13T18:43:02Z,16,4
Nezea,"Selalu ada pesan di setiap lagu vob, terus berkarya neng2 geulis",2022-03-13T16:20:53Z,11,0
murry susilo,Keren musiknya.  VOB makin terkenal sekarang.yg komen banyak dari luar negri,2022-03-13T09:52:07Z,6,0
Sangresi Purba,Yes you are Voice Of the Brave.,2022-03-13T09:41:55Z,6,0
Sangresi Purba,"Let rock yr body, funk yr move guys. Love you VOB, Glasses Kingdom Jamaican, musician reactor call you Voice Of The Brave.",2022-03-13T09:41:09Z,10,0
Java Child Channel,Terbaik Mojang Garut...MANTUL...🤘🏾🤘🏾👍🏾👍🏾,2022-03-13T09:25:49Z,14,0
robo2eagle,Aww.. Akhirnya Keluar jg video clipnya.. Kereeeennn bangggeeeeett... Love u guys VoBeee,2022-03-13T09:12:47Z,6,0
WAN SUNDANIZ,"Mantapppp, sunda ngajomantaraa, pinuh ku komara, garut juaraaaaa",2022-03-13T09:12:22Z,5,0
Papa Roachz,Makin mantep soundny seneng banget liat perkembanganya VOB 🔥🔥🔥🤘🤘,2022-03-13T08:26:21Z,13,0
Fathia Almahyra,Kerudungan tapi nyanyi music setaan dan iblis,2022-03-13T06:08:11Z,2,17
Fauzi Azis,"ukhti Fathia, lagu ini di awali dg gambaran gadis yg menangis, kehilangan harapan, masa depan dan cintanya, karena perbuatan pemerkosa...di tambah di bully lagi sama lingkungan, sudah jadi korban masih di salah2kan...VoB speak up melalui lagu ini untuk membesarkan hati para korban perkosaan ini, bahwa ini bukan salah mereka, bahwa mereka masih punya masa depan...dan masih ada yg peduli dan memihak mereka..VoB akan selalu berbicara untuk mereka..stronger and louder...VoB pernah bercerita ttg ustadz yg memperkosa beberapa santriwatinya di pesantren, dan wanita hamil yg di desak nggugurin kandungan oleh pacarnya sampai stress dan bunuh diri diatas makam ayahnya, VoB gag ingin semua ini terjadi lagi..para wanita butuh tempat yang aman...pesantren yg mestinya tempat amanpun ternyata gag juga...dengan lagu inilah VoB menggungah semua pihak, ayo lindungi perempuan, ciptakan tempat aman bagi mereka, jangan hanya menyalahkan cara berpakaian perempuan saja sementara pikiran kotor dan porno dari lelaki di tolerir....kalau lagu sperti ini di anggap music setan...pastilah setan sudah jadi tuhan dan tuhan sudah pensiun....",2022-03-13T10:42:23Z,7,
Dijaya,"v
VOB memang ker3n ,perjuangan nya sangat keras dan semangat  nya ber api2 ...",2022-03-28T22:55:09Z,0,
manda besemah,Sdh kelas dunia tampilan video klipnya.. Sepertinya 1-2 thn lg sdh akan byk di undang konser di belahan dunia nih band! Bravo,2022-03-13T02:58:57Z,38,5
Dijaya,Inti nya musik dan syair nya yg  kerren ....,2022-03-15T14:56:10Z,4,
torro kust,"Siti ketukan drumnya keren bngttt...   Widi tumben main bassnya sopan bngt...  
Marsya.. Kamulah sang pembawa lagu  bukan skedar vokalis
VOB KERENNNN... Sukses buat kalian",2022-03-13T02:21:35Z,35,0
Fauzi Azis,"yang di pandang kekurangan, bisa jadi itu keunikan VoB..., sy dulu pas dengerin lagunya khalid, bily ellis..mikir ini nyanyi kok males banget ya ngeluarin suaranya..ternyata itulah keunikan mereka.... 🤘",2022-03-13T03:13:05Z,3,
alhaqq,Really Love This Song,2022-03-13T01:16:30Z,4,0
ika purwo,"Ijin react ya kak 😊👍,, semoga sehat dan bahagia selalu 😊👍",2022-03-13T01:12:11Z,9,0
rahmat tulloh,"Wowwww,,makin kerreeen aja ni vob,,sukses selalu neng geulissss,lanjut kan..",2022-03-12T23:09:40Z,11,0
Andip,"Warna baru lagiiiiiiii, sound nya bedaaa lagiiiiii, tetapi sangat kental cara bermain musik nya VOB bgt, semua gw angkat daahhh buat kalian. GW TUNGGU KELANJUTAN NYA. Udah kayak teka-teki kalian.",2022-03-12T21:14:24Z,27,0
Wisnu adewa praseptyar,ISTIMEWA...,2022-03-12T21:06:25Z,5,0
sendybg,"Bagus banget, durasinya kurang panjang sedikit. bikin nagih nih.",2022-03-12T18:00:34Z,3,1
Net Onet,Lirik lagu ini perempuan banget..gw sebagai laki2 kok rada aneh klo nyanyiin lagi NPP ini. Dari instrument musiknya sih enak didengerin.😀,2022-03-15T03:20:28Z,0,
Asrochri M,gassskeunn setuju,2022-03-14T10:49:28Z,2,
Agus Dwi,"Maaf anak2 ku. Menurut saya sbg muslimah yg sopan apakah tidak sebaiknya untuk tidaj mengciver lagu2 yg ada kata2 fuck you, mother fucker dsb. Di Barat sendiri kata2 itu agak vulgar dan kurang pantas diucapkan gadis2 cantik sok anak2ku ini.",2022-03-12T15:04:00Z,2,14
Asep setiawan,Menginspirasi pisan. Ditunggu kedatangannya di jepang. Keep rock👊🔥🔥🔥,2022-03-12T11:12:20Z,4,0
Haikal Al Ghazali,mantul abis,2022-03-12T10:54:33Z,1,0
gusti mardayani,lagunya eunak...rapi dan pas banget semua porsi gitar bas dan drum keren...🤟👍👍,2022-03-12T10:18:44Z,6,0
Asep Dedi,Band yg kaya gini nih harus trending karna sangat membanggakan indonesia..maju terus VOB ciptakan karya karya terbaikmu semoga menjadi band papan atas dunia🤘🤘🤘,2022-03-12T08:49:41Z,15,0
Asep Suryana,Kalian adalah keajaiban dunia ke 8 ...,2022-03-12T08:27:30Z,4,2
XYZcllasicrockindo,VOB telah sukses bikin rocker-rocker senior pingin cepet-cepet gantung gitar.... SALUTE.....,2022-03-12T08:02:36Z,35,1
Rio Sullivan,"Gini ya, kalau bermusik pakai hati.
Keren lah.

rukun-rukun kalian bertiga.",2022-03-11T23:18:14Z,30,3
MODAHER,Njiiir makin kesini makin Mateng aja karya mereka,2022-03-11T22:31:07Z,4,0
